City,Population_2021,Population_2024,EmpPopRatio_2021,EmpPopRatio_2024,LFPR_2021,LFPR_2024,Median_HH_Income_2021,Median_HH_Income_2024,Unemployment_Rate_2021,Unemployment_Rate_2024
"Erie city, Pennsylvania","94,013","92,936",53.4%,54.4%,58.4%,59.5%,"43,186","47,733",8.5%,8.6%
"Philadelphia city, Pennsylvania","1,576,251","1,573,916",56.3%,61.0%,62.9%,64.9%,"52,899","60,521",10.5%,5.9%
"Pittsburgh city, Pennsylvania","300,454","307,670",58.5%,61.1%,63.2%,64.6%,"57,821","66,954",7.2%,5.3%
"Reading city, Pennsylvania","94,834","96,008",50.0%,51.7%,58.5%,63.2%,"37,107","40,081",14.4%,18.2%
"Scranton city, Pennsylvania","75,867","75,915",54.1%,49.9%,58.2%,52.5%,"54,279","48,762",7.0%,4.8%
"Cranston city, Rhode Island","82,568","84,445",59.5%,62.1%,65.8%,65.6%,"80,564","87,189",9.6%,5.3%
"Pawtucket city, Rhode Island","75,379","76,996",65.3%,64.2%,70.2%,68.3%,"51,817","64,338",7.0%,6.0%
"Providence city, Rhode Island","189,697","194,710",60.1%,59.4%,66.5%,66.1%,"60,970","61,797",9.4%,10.0%
"Warwick city, Rhode Island","83,014","83,554",60.1%,66.3%,63.8%,68.2%,"72,025","91,424",5.8%,2.8%
"Charleston city, South Carolina","152,046","159,011",62.9%,64.8%,66.1%,67.5%,"74,139","98,085",4.2%,3.4%
"Columbia city, South Carolina","137,960","144,281",55.2%,53.2%,64.4%,62.5%,"47,524","55,233",9.9%,4.4%
"Greenville city, South Carolina","72,103","74,386",65.1%,65.2%,68.8%,68.0%,"57,253","81,573",5.1%,3.9%
"Mount Pleasant town, South Carolina","92,398","95,606",,62.8%,,65.2%,"99,298","140,075",,2.3%
"North Charleston city, South Carolina","117,463","126,015",65.4%,64.9%,71.2%,70.5%,"55,864","61,445",5.9%,3.8%
"Rock Hill city, South Carolina","74,107","75,787",64.0%,,68.6%,,"60,237","71,309",6.0%,
"Rapid City city, South Dakota","76,173","79,894",62.0%,63.1%,65.0%,66.6%,"61,495","75,467",3.0%,2.8%
"Sioux Falls city, South Dakota","196,528","209,297",72.8%,70.5%,74.4%,72.3%,"73,273","77,208",1.8%,2.4%
"Chattanooga city, Tennessee","182,111","191,495",59.0%,61.5%,62.8%,65.5%,"55,065","66,060",6.0%,6.1%
"Clarksville city, Tennessee","170,966","185,680",53.7%,59.5%,65.5%,71.7%,"60,686","73,465",4.3%,5.1%
"Franklin city, Tennessee","85,473","89,150",,68.4%,,70.4%,"104,515","122,014",,2.7%
"Jackson city, Tennessee","68,114","69,300",54.7%,58.1%,59.0%,62.0%,"45,651","58,050",7.3%,6.2%
"Johnson City city, Tennessee","70,889","74,879",54.9%,62.8%,60.7%,65.3%,"56,248","60,606",8.7%,3.8%
"Knoxville city, Tennessee","192,657","198,708",59.8%,65.5%,63.3%,68.7%,"45,700","57,298",5.4%,4.6%
"Memphis city, Tennessee","628,118","610,936",57.4%,57.9%,64.0%,62.8%,"44,317","52,679",9.8%,7.9%
"Murfreesboro city, Tennessee","157,509","168,382",70.6%,70.6%,73.7%,75.3%,"77,584","84,457",4.2%,6.2%
"Nashville-Davidson metropolitan government (balance), Tennessee","678,845","704,965",66.4%,72.2%,69.5%,74.6%,"64,857","80,090",4.3%,3.2%
"Abilene city, Texas","129,601","130,033",55.7%,55.4%,60.3%,61.8%,"51,931","60,605",2.2%,3.3%
"Allen city, Texas","106,868","113,761",,67.5%,,69.9%,"107,438","126,370",,3.5%
"Amarillo city, Texas","198,781","197,979",63.6%,66.4%,66.0%,68.7%,"55,572","67,187",3.5%,3.3%
"Arlington city, Texas","392,802","403,657",64.5%,66.4%,69.0%,70.6%,"59,889","74,388",6.4%,5.7%
"Atascocita CDP, Texas","85,808","103,937",69.4%,,73.4%,,"101,686","123,746",5.3%,
"Austin city, Texas","964,000","993,771",71.2%,72.2%,75.3%,75.5%,"79,542","90,430",5.3%,4.3%
"Baytown city, Texas","79,676","86,395",54.3%,56.4%,63.6%,64.6%,"48,287","63,006",14.5%,12.6%
"Beaumont city, Texas","112,559","112,888",61.8%,54.5%,65.4%,59.2%,"51,361","54,065",4.7%,7.3%
"Brownsville city, Texas","187,840","191,968",53.4%,57.5%,58.7%,60.6%,"47,435","59,491",9.0%,5.1%
"Bryan city, Texas","86,851","91,544",55.3%,64.3%,59.4%,66.7%,"44,017","62,131",6.2%,3.6%
"Carrollton city, Texas","132,569","135,256",70.9%,68.7%,73.7%,71.1%,"86,647","102,231",3.8%,3.5%
"Cedar Park city, Texas","78,326","79,218",,69.6%,,74.1%,"114,450","125,206",,6.1%
"College Station city, Texas","120,032","128,017",60.1%,52.5%,63.4%,55.4%,"49,215","50,523",5.0%,5.0%
"Conroe city, Texas","94,401","114,581",,63.6%,,66.3%,"68,428","80,411",,4.0%
"Corpus Christi city, Texas","317,768","317,314",56.8%,58.8%,60.8%,62.0%,"59,812","66,967",5.3%,4.7%
"Dallas city, Texas","1,288,441","1,326,093",64.0%,66.6%,68.2%,69.8%,"57,995","74,323",6.0%,4.3%
"Denton city, Texas","148,139","165,986",64.1%,66.0%,68.5%,68.9%,"64,873","80,908",6.4%,4.2%
"Edinburg city, Texas","102,477","108,746",,60.5%,,63.5%,"47,596","59,851",,4.5%
"El Paso city, Texas","678,422","681,724",55.2%,57.9%,62.3%,62.5%,"51,241","59,932",7.9%,4.3%
"Flower Mound town, Texas","78,375","79,435",70.0%,69.0%,73.2%,70.7%,"144,642","166,624",4.3%,2.3%
"Fort Worth city, Texas","940,437","1,014,376",64.5%,64.7%,68.1%,68.0%,"68,235","82,503",5.1%,4.5%
"Frisco city, Texas","210,735","235,221",68.8%,69.9%,72.5%,74.2%,"130,118","145,444",5.0%,5.6%
"Garland city, Texas","241,870","250,571",62.1%,65.3%,65.6%,68.4%,"61,607","75,797",5.2%,4.5%
"Georgetown city, Texas","75,407","101,345",54.1%,56.7%,57.4%,58.8%,"79,601","92,821",4.8%,3.4%
"Grand Prairie city, Texas","197,338","207,618",64.1%,66.0%,67.4%,69.2%,"68,473","82,195",4.6%,4.7%
"Harlingen city, Texas","71,928","72,239",,53.7%,,55.3%,"50,861","41,756",,2.9%
"Houston city, Texas","2,287,047","2,387,910",61.6%,62.9%,67.3%,67.2%,"55,499","64,361",8.4%,6.4%
"Irving city, Texas","254,190","258,052",69.0%,72.6%,72.8%,76.2%,"70,340","84,849",5.1%,4.3%
"Killeen city, Texas","156,260","160,618",52.7%,55.7%,67.5%,67.6%,"51,619","60,141",10.1%,7.7%
"Laredo city, Texas","258,014","261,408",56.0%,64.3%,59.9%,66.4%,"52,438","61,519",6.5%,3.1%
"League City city, Texas","114,664","119,398",66.2%,67.4%,69.9%,70.9%,"101,382","124,084",4.7%,3.9%
"Leander city, Texas","68,993","86,168",,70.3%,,72.8%,"120,165","141,023",,3.4%
"Lewisville city, Texas","112,853","135,181",69.6%,69.4%,74.9%,73.0%,"75,915","93,715",6.9%,4.8%
"Longview city, Texas","81,877","82,941",59.6%,,62.9%,,"51,209","57,259",5.2%,
"Lubbock city, Texas","260,990","272,085",62.9%,65.5%,66.8%,68.6%,"54,747","62,360",5.5%,4.4%
"McAllen city, Texas","143,922","148,784",58.4%,60.8%,62.7%,65.3%,"57,359","60,907",6.8%,6.4%
"McKinney city, Texas","202,680","227,515",67.1%,68.9%,69.5%,72.0%,"98,317","124,177",3.6%,4.2%
"Mansfield city, Texas","74,106","91,367",,,,,"91,255","128,856",,
"Mesquite city, Texas","148,087","151,379",66.2%,60.8%,71.1%,65.2%,"60,957","66,083",6.9%,6.7%
"Midland city, Texas","131,292","143,637",69.3%,66.8%,73.4%,68.9%,"72,038","82,547",5.2%,2.6%
"Mission city, Texas","86,215","88,570",53.2%,56.9%,57.8%,59.6%,"57,749","55,857",7.9%,4.5%
"Missouri City city, Texas","76,462","80,865",,,,,"81,451","90,271",,
"New Braunfels city, Texas","96,630","116,465",,64.5%,,67.2%,"89,073","90,284",,4.0%
"North Richland Hills city, Texas","70,212","71,428",62.2%,,64.8%,,"78,496","97,586",3.5%,
"Odessa city, Texas","116,436","123,861",66.2%,65.2%,70.6%,70.2%,"61,964","79,531",6.2%,4.3%
"Pasadena city, Texas","148,629","149,615",55.4%,61.0%,62.8%,65.0%,"60,939","60,844",11.7%,6.1%
"Pearland city, Texas","120,694","131,626",,69.9%,,72.7%,"103,227","135,469",,3.8%
"Pflugerville city, Texas","66,700","66,624",,,,,"103,687","121,964",,
"Pharr city, Texas","79,697","81,145",,60.7%,,65.8%,"32,217","54,042",,7.8%
"Plano city, Texas","287,037","292,615",65.2%,66.2%,68.8%,69.5%,"95,002","115,901",5.1%,4.0%
"Richardson city, Texas","116,369","118,217",65.0%,65.6%,70.0%,68.6%,"85,580","104,379",7.0%,4.4%
"Round Rock city, Texas","127,130","135,665",68.5%,70.2%,72.4%,72.8%,"79,649","107,677",5.3%,3.4%
"San Angelo city, Texas","101,063","99,661",58.8%,61.4%,63.9%,67.1%,"60,030","67,498",4.2%,5.2%
"San Antonio city, Texas","1,451,863","1,526,621",59.8%,60.7%,65.6%,65.8%,"54,923","66,176",7.2%,5.7%
"San Marcos city, Texas","68,578","74,319",60.1%,64.6%,66.3%,67.2%,"36,080","48,091",8.7%,3.7%
"Spring CDP, Texas","71,893","80,983",,,,,"79,884","78,601",,
"Sugar Land city, Texas","109,337","109,853",59.0%,58.5%,63.2%,60.5%,"112,868","133,466",6.7%,3.3%
"Temple city, Texas","85,428","96,268",58.4%,62.0%,64.9%,65.3%,"58,284","71,931",7.4%,3.6%
"The Woodlands CDP, Texas","116,251","140,489",,57.8%,,61.0%,"104,787","135,645",,5.2%
"Tyler city, Texas","107,199","112,204",58.6%,62.0%,62.7%,64.7%,"54,998","70,101",6.3%,4.3%
"Victoria city, Texas","65,384","66,025",61.3%,60.9%,66.3%,62.4%,"54,786","56,874",7.5%,2.4%
"Waco city, Texas","139,601","146,603",58.4%,59.0%,61.8%,61.4%,"49,952","56,548",5.5%,3.6%
"Wichita Falls city, Texas","102,986","102,373",54.0%,54.1%,62.6%,64.7%,"50,786","63,835",4.0%,5.9%
"Layton city, Utah","83,299","84,336",69.6%,66.7%,72.9%,70.8%,"81,011","98,190",1.3%,5.5%
"Lehi city, Utah","79,979","93,442",,72.2%,,74.8%,"114,136","137,988",,3.1%
"Ogden city, Utah","86,800","88,661",64.0%,66.7%,67.5%,69.7%,"56,501","74,449",4.6%,3.1%
"Orem city, Utah","97,872","96,642",70.2%,67.1%,71.8%,70.4%,"72,449","85,292",2.3%,4.5%
"Provo city, Utah","114,085","115,496",70.5%,66.9%,73.3%,71.8%,"57,659","60,139",3.8%,6.6%
"St. George city, Utah","99,965","106,289",55.2%,58.1%,57.9%,59.9%,"59,365","83,984",4.7%,3.0%
"Salt Lake City city, Utah","200,475","217,783",71.4%,69.4%,74.2%,73.8%,"66,658","77,186",3.9%,5.6%
"Sandy city, Utah","95,038","92,832",65.7%,65.8%,67.5%,68.1%,"100,153","106,170",2.5%,3.3%
"South Jordan city, Utah","80,142","86,172",,68.8%,,70.7%,"104,170","161,025",,2.6%
"West Jordan city, Utah","116,544","116,697",68.1%,71.1%,71.7%,74.2%,"86,252","112,731",4.7%,4.0%
"West Valley City city, Utah","139,094","138,153",70.5%,67.9%,73.5%,71.0%,"74,348","92,750",4.1%,4.4%
"Alexandria city, Virginia","154,706","159,102",73.8%,76.1%,78.7%,80.0%,"101,162","124,593",4.3%,2.1%
"Arlington CDP, Virginia","232,965","239,807",71.7%,71.8%,76.3%,75.3%,"125,651","133,582",3.4%,2.7%
"Centreville CDP, Virginia","75,010","67,421",69.9%,68.0%,73.8%,72.0%,"113,518","123,637",4.9%,4.3%
"Chesapeake city, Virginia","251,269","254,997",60.8%,58.1%,68.5%,64.6%,"88,815","89,265",4.6%,4.6%
"Dale City CDP, Virginia","79,782","65,783",68.1%,60.3%,73.3%,66.1%,"107,272","96,645",6.2%,6.2%
"Hampton city, Virginia","137,746","137,596",57.4%,55.9%,66.8%,64.8%,"57,647","69,277",5.8%,5.9%
"Lynchburg city, Virginia","79,009","80,301",58.0%,57.7%,62.3%,61.0%,"56,110","56,983",6.9%,4.9%
"Newport News city, Virginia","184,587","183,056",57.7%,59.4%,68.6%,66.6%,"58,937","68,927",7.1%,4.6%
"Norfolk city, Virginia","235,089","231,105",52.1%,55.9%,70.0%,69.2%,"58,591","65,797",4.6%,3.8%
"Portsmouth city, Virginia","97,840","96,482",54.1%,55.4%,64.7%,62.3%,"54,429","63,413",7.6%,3.0%
"Richmond city, Virginia","226,604","233,655",60.8%,66.8%,65.9%,70.4%,"51,770","63,390",7.4%,4.6%
"Roanoke city, Virginia","98,865","97,912",59.5%,57.1%,63.2%,59.6%,"47,202","60,456",5.7%,3.8%
"Suffolk city, Virginia","96,194","103,105",57.8%,58.8%,65.4%,65.5%,"79,556","97,690",5.7%,3.6%
"Virginia Beach city, Virginia","457,672","454,808",60.3%,59.8%,69.5%,68.1%,"81,634","94,579",4.1%,3.1%
"Auburn city, Washington","87,061","86,372",63.5%,62.6%,68.2%,68.0%,"79,368","94,603",6.9%,7.7%
"Bellevue city, Washington","149,429","154,387",61.0%,65.9%,65.2%,69.0%,"144,274","161,194",5.8%,4.5%
"Bellingham city, Washington","92,290","95,880",61.8%,64.3%,66.7%,69.1%,"58,597","74,220",7.0%,6.1%
"Everett city, Washington","110,820","112,999",61.1%,63.2%,66.1%,67.8%,"70,023","80,960",4.9%,5.5%
"Federal Way city, Washington","99,028","100,242",58.9%,65.6%,63.9%,68.4%,"78,734","89,022",7.2%,4.0%
"Kennewick city, Washington","84,478","86,721",54.1%,58.6%,56.9%,62.3%,"56,041","78,226",4.9%,5.4%
"Kent city, Washington","134,837","136,587",64.5%,65.3%,69.8%,67.9%,"81,373","92,497",7.6%,3.6%
"Kirkland city, Washington","92,105","95,495",64.7%,68.4%,68.5%,71.3%,"130,397","167,626",5.5%,4.1%
"Marysville city, Washington","71,151","76,215",63.3%,64.2%,67.1%,66.5%,"92,347","99,099",4.4%,2.4%
"Pasco city, Washington","84,190","79,921",66.8%,60.6%,69.1%,65.6%,"82,561","82,974",3.3%,7.6%
"Redmond city, Washington","76,360","82,199",,,,,"155,426","148,601",,
"Renton city, Washington","105,200","105,551",63.9%,70.8%,68.3%,74.4%,"83,699","103,869",6.4%,4.7%
"Sammamish city, Washington","66,630","66,465",,67.7%,,70.2%,"201,370","245,694",,3.5%
"Seattle city, Washington","733,904","780,992",69.2%,71.5%,73.3%,75.6%,"110,781","118,745",5.3%,5.2%
"South Hill CDP, Washington","66,875","66,731",65.9%,,69.3%,,"97,622","120,974",4.1%,
"Spokane city, Washington","229,065","230,604",57.6%,61.0%,62.3%,64.4%,"58,714","78,583",7.1%,4.8%
"Spokane Valley city, Washington","105,912","108,287",62.2%,56.8%,65.8%,59.9%,"58,904","74,135",4.9%,3.9%
"Tacoma city, Washington","219,203","228,187",61.9%,61.8%,66.6%,65.7%,"77,141","86,328",5.3%,5.4%
"Vancouver city, Washington","192,176","198,988",57.7%,60.7%,62.5%,64.1%,"69,993","82,928",7.6%,5.2%
"Yakima city, Washington","96,565","97,378",49.7%,54.3%,57.1%,59.5%,"52,689","63,781",13.0%,8.3%
"Appleton city, Wisconsin","72,951","74,439",62.9%,67.8%,65.5%,69.3%,"66,449","82,155",3.8%,2.0%
"Eau Claire city, Wisconsin","69,196","72,382",67.6%,69.3%,69.8%,72.8%,"57,732","69,475",3.1%,4.8%
"Green Bay city, Wisconsin","107,020","106,312",62.4%,67.2%,65.7%,68.7%,"51,908","65,820",5.1%,2.2%
"Janesville city, Wisconsin","65,953","66,434",,,,,"63,435","66,853",,
"Kenosha city, Wisconsin","99,285","99,574",62.3%,67.0%,66.0%,70.0%,"67,223","76,961",5.4%,4.0%
"Madison city, Wisconsin","269,162","285,318",66.9%,70.2%,69.2%,72.0%,"67,270","79,254",3.2%,2.3%
"Milwaukee city, Wisconsin","569,326","563,512",59.5%,60.9%,64.1%,65.1%,"46,637","56,792",7.0%,6.4%
"Oshkosh city, Wisconsin","66,594","67,241",60.8%,60.4%,62.6%,61.7%,"55,446","60,711",2.8%,2.1%
"Racine city, Wisconsin","77,131","78,063",59.1%,59.7%,63.1%,64.8%,"47,861","55,458",6.4%,7.6%
"Waukesha city, Wisconsin","71,254","71,462",,69.3%,,70.8%,"69,533","87,462",,2.0%
"Cheyenne city, Wyoming","65,048","65,698",63.1%,61.7%,66.7%,66.0%,"60,893","79,813",2.0%,3.7%
"Bayamón zona urbana, Puerto Rico","168,592","166,470",40.3%,46.9%,44.5%,49.7%,"26,540","33,367",9.1%,5.2%
"Caguas zona urbana, Puerto Rico","76,577","74,695",42.5%,,46.4%,,"22,125","28,547",8.6%,
"Carolina zona urbana, Puerto Rico","141,050","136,303",45.6%,49.8%,54.0%,53.9%,"31,597","36,963",14.2%,6.8%
"Guaynabo zona urbana, Puerto Rico","72,088","68,908",46.3%,55.5%,50.7%,56.6%,"53,479","58,141",7.8%,2.1%
"Ponce zona urbana, Puerto Rico","112,005","101,024",34.7%,37.4%,41.0%,43.8%,"17,207","22,061",15.2%,14.4%
"San Juan zona urbana, Puerto Rico","320,456","313,579",44.3%,47.6%,52.1%,52.5%,"22,556","30,786",14.8%,9.1%
